00:19:26	 Account: vanson	Name: TaDiTimEm	 DelItem: Tóc S­¬ng
02:21:58	 Account: nhuhoa1	Name: TenÙNhanÙVat	 DelItem: Tóc S­¬ng
02:23:37	 Account: nhuhoa1	Name: TenÙNhanÙVat	 DelItem: LÖnh bµi Phong L¨ng §é
02:23:37	 Account: nhuhoa1	Name: TenÙNhanÙVat	 DelItem: LÖnh bµi Phong L¨ng §é
02:25:01	 Account: nhuhoa2	Name: XinÙDatÙTen	 DelItem: Tóc S­¬ng
03:26:38	 Account: badao765	Name: Salika	 DelItem: Tóc S­¬ng
03:44:02	 Account: quangthaian	Name: S¾tÙThiªn	 DelItem: Tóc S­¬ng
03:47:13	 Account: quangthaian	Name: S¾tÙThiªn	 DelItem: [ Nguyªn So¸i ] quan Ên
03:47:13	 Account: quangthaian	Name: S¾tÙThiªn	 DelItem: [ Nguyªn So¸i ] quan Ên
03:47:13	 Account: quangthaian	Name: S¾tÙThiªn	 DelItem: [ Nguyªn So¸i ] quan Ên
03:47:13	 Account: quangthaian	Name: S¾tÙThiªn	 DelItem: [ Nguyªn So¸i ] quan Ên
03:47:13	 Account: quangthaian	Name: S¾tÙThiªn	 DelItem: [ Nguyªn So¸i ] quan Ên
03:47:13	 Account: quangthaian	Name: S¾tÙThiªn	 DelItem: [ Nguyªn So¸i ] quan Ên
03:47:13	 Account: quangthaian	Name: S¾tÙThiªn	 DelItem: [ Nguyªn So¸i ] quan Ên
03:47:13	 Account: quangthaian	Name: S¾tÙThiªn	 DelItem: [ Nguyªn So¸i ] quan Ên
03:47:13	 Account: quangthaian	Name: S¾tÙThiªn	 DelItem: [ Nguyªn So¸i ] quan Ên
03:47:13	 Account: quangthaian	Name: S¾tÙThiªn	 DelItem: [ Nguyªn So¸i ] phi phong
03:47:13	 Account: quangthaian	Name: S¾tÙThiªn	 DelItem: [ Nguyªn So¸i ] phi phong
03:47:13	 Account: quangthaian	Name: S¾tÙThiªn	 DelItem: [ Nguyªn So¸i ] phi phong
03:47:13	 Account: quangthaian	Name: S¾tÙThiªn	 DelItem: [ Nguyªn So¸i ] phi phong
03:47:13	 Account: quangthaian	Name: S¾tÙThiªn	 DelItem: [ Nguyªn So¸i ] phi phong
03:47:13	 Account: quangthaian	Name: S¾tÙThiªn	 DelItem: [ Nguyªn So¸i ] phi phong
03:47:13	 Account: quangthaian	Name: S¾tÙThiªn	 DelItem: [ Nguyªn So¸i ] phi phong
03:47:13	 Account: quangthaian	Name: S¾tÙThiªn	 DelItem: [ Nguyªn So¸i ] phi phong
03:47:13	 Account: quangthaian	Name: S¾tÙThiªn	 DelItem: [ Nguyªn So¸i ] phi phong
03:47:13	 Account: quangthaian	Name: S¾tÙThiªn	 DelItem: [ Nguyªn So¸i ] phi phong
03:47:13	 Account: quangthaian	Name: S¾tÙThiªn	 DelItem: [ Nguyªn So¸i ] phi phong
03:47:13	 Account: quangthaian	Name: S¾tÙThiªn	 DelItem: [ Nguyªn So¸i ] phi phong
03:47:13	 Account: quangthaian	Name: S¾tÙThiªn	 DelItem: [ Nguyªn So¸i ] phi phong
03:47:13	 Account: quangthaian	Name: S¾tÙThiªn	 DelItem: [ Nguyªn So¸i ] phi phong
03:47:13	 Account: quangthaian	Name: S¾tÙThiªn	 DelItem: [ Nguyªn So¸i ] phi phong
03:47:19	 Account: quangthaian	Name: S¾tÙThiªn	 DelItem: [ Nguyªn So¸i ] phi phong
03:47:19	 Account: quangthaian	Name: S¾tÙThiªn	 DelItem: [ Nguyªn So¸i ] phi phong
03:47:19	 Account: quangthaian	Name: S¾tÙThiªn	 DelItem: [ Nguyªn So¸i ] phi phong
03:47:19	 Account: quangthaian	Name: S¾tÙThiªn	 DelItem: [ Nguyªn So¸i ] phi phong
04:18:39	 Account: sang001	Name: MartinÙXO	 DelItem: Tóc S­¬ng
04:38:09	 Account: hhcc11	Name: TräcÙCa	 DelItem: Tóc S­¬ng
04:42:05	 Account: huynhanh02	Name: KuHocMon	 DelItem: [ Nguyªn So¸i ] phi phong
04:42:05	 Account: huynhanh02	Name: KuHocMon	 DelItem: [ Nguyªn So¸i ] phi phong
04:42:05	 Account: huynhanh02	Name: KuHocMon	 DelItem: [ Nguyªn So¸i ] phi phong
04:42:05	 Account: huynhanh02	Name: KuHocMon	 DelItem: [ Nguyªn So¸i ] phi phong
