09:22:27	 Account: hatuthuyen1	Name: Teolas	 DelItem: Tóc S­¬ng
09:37:03	 Account: gacngay1	Name: HoangTD	 DelItem: Tóc S­¬ng
10:04:35	 Account: hatuthuyen2	Name: testsever	 DelItem: Tóc S­¬ng
10:20:43	 Account: bbt001	Name: TiªuÙPhong	 DelItem: Tóc S­¬ng
10:27:01	 Account: bbt002	Name: TiÓuÙLong	 DelItem: Tóc S­¬ng
10:32:22	 Account: yok001	Name: Damiemes	 DelItem: Tóc S­¬ng
10:33:41	 Account: tuphuongmau1	Name: adfgjjk	 DelItem: Kim Phong C«ng CÈn Tam Th¸n
10:33:41	 Account: tuphuongmau1	Name: adfgjjk	 DelItem: Tóc S­¬ng
10:35:48	 Account: tuphuongmau2	Name: xhggxhg	 DelItem: Kim Phong C«ng CÈn Tam Th¸n
10:35:48	 Account: tuphuongmau2	Name: xhggxhg	 DelItem: Tóc S­¬ng
10:56:55	 Account: bbt003	Name: TiÓuÙNg­	 DelItem: Kim Phong §ång T­íc Xu©n Th©m
10:56:55	 Account: bbt003	Name: TiÓuÙNg­	 DelItem: Kim Phong Kú L©n HuyÕt
10:56:55	 Account: bbt003	Name: TiÓuÙNg­	 DelItem: Kim Phong Thanh D­¬ng Kh«i
11:00:18	 Account: bbt003	Name: TiÓuÙNg­	 DelItem: Kim Phong Tr¹c Liªn Quang
11:10:24	 Account: bbt003	Name: TiÓuÙNg­	 DelItem: Kim Phong Thiªn Lı Th¶o Th­îng Phi
11:10:24	 Account: bbt003	Name: TiÓuÙNg­	 DelItem: Kim Phong HËu NghÖ dÉn cung
11:26:05	 Account: kiet1994	Name: ChayChoChet	 DelItem: Tóc S­¬ng
11:26:05	 Account: kiet1994	Name: ChayChoChet	 DelItem: Kim Phong §ång T­íc Xu©n Th©m
11:26:39	 Account: kiet1994	Name: ChayChoChet	 DelItem: Kim Phong Thiªn Lı Th¶o Th­îng Phi
11:40:06	 Account: kiet1994	Name: ChayChoChet	 DelItem: Kim Phong §o¹t Hån Ngäc ®¸i
11:40:06	 Account: kiet1994	Name: ChayChoChet	 DelItem: Kim Phong C«ng CÈn Tam Th¸n
11:50:49	 Account: kiet1994	Name: ChayChoChet	 DelItem: Kim Phong Kú L©n HuyÕt
11:55:54	 Account: kiet1992	Name: dsadasdas	 DelItem: Kim Phong Thiªn Lı Th¶o Th­îng Phi
11:59:16	 Account: khacman6	Name: CayTien06	 DelItem: Kim Phong Thanh D­¬ng Kh«i
12:00:33	 Account: khacman5	Name: CayTien05	 DelItem: Kim Phong Thanh D­¬ng Kh«i
12:05:44	 Account: kiet1994	Name: ChayChoChet	 DelItem: Kim Phong Thanh D­¬ng Kh«i
12:58:52	 Account: hatuthuyen2	Name: ongbabi	 DelItem: Kim Phong §ång T­íc Xu©n Th©m
12:58:52	 Account: hatuthuyen2	Name: ongbabi	 DelItem: Kim Phong C«ng CÈn Tam Th¸n
12:58:52	 Account: hatuthuyen2	Name: ongbabi	 DelItem: Tóc S­¬ng
13:09:14	 Account: vugiang	Name: GaÙRung	 DelItem: Tóc S­¬ng
13:35:50	 Account: vugiang	Name: GaÙRung	 DelItem: [ Nguyªn So¸i ] chiÕn m·
13:38:48	 Account: kuttun4	Name: HeNDMoc	 DelItem: Tóc S­¬ng
13:38:48	 Account: kuttun4	Name: HeNDMoc	 DelItem: Kim Phong Thanh D­¬ng Kh«i
13:38:48	 Account: kuttun4	Name: HeNDMoc	 DelItem: Kim Phong C«ng CÈn Tam Th¸n
13:40:11	 Account: vugiang2	Name: SanBossa	 DelItem: Kim Phong §ång T­íc Xu©n Th©m
13:40:11	 Account: vugiang2	Name: SanBossa	 DelItem: Kim Phong C«ng CÈn Tam Th¸n
13:40:11	 Account: vugiang2	Name: SanBossa	 DelItem: Kim Phong Kú L©n HuyÕt
13:40:11	 Account: vugiang2	Name: SanBossa	 DelItem: Kim Phong Thanh D­¬ng Kh«i
13:41:36	 Account: vugiang2	Name: SanBossa	 DelItem: Kim Phong Tr¹c Liªn Quang
13:41:41	 Account: bocaian	Name: CAÙPenarol	 DelItem: Tóc S­¬ng
13:42:44	 Account: bocaian1	Name: ThİchCh©nQuang	 DelItem: Tóc S­¬ng
13:43:21	 Account: vugiang	Name: GaÙRung	 DelItem: Lam Thñy Tinh
13:43:21	 Account: vugiang	Name: GaÙRung	 DelItem: Tö Thñy Tinh
13:43:21	 Account: vugiang	Name: GaÙRung	 DelItem: Tö Thñy Tinh
13:43:21	 Account: vugiang	Name: GaÙRung	 DelItem: Lam Thñy Tinh
13:43:21	 Account: vugiang	Name: GaÙRung	 DelItem: Lam Thñy Tinh
13:43:21	 Account: vugiang	Name: GaÙRung	 DelItem: Lôc Thñy Tinh
13:43:21	 Account: vugiang	Name: GaÙRung	 DelItem: Tö Thñy Tinh
13:43:21	 Account: vugiang	Name: GaÙRung	 DelItem: Lam Thñy Tinh
13:43:21	 Account: vugiang	Name: GaÙRung	 DelItem: Lôc Thñy Tinh
13:43:21	 Account: vugiang	Name: GaÙRung	 DelItem: Lam Thñy Tinh
13:43:21	 Account: vugiang	Name: GaÙRung	 DelItem: Tö Thñy Tinh
13:43:21	 Account: vugiang	Name: GaÙRung	 DelItem: Lôc Thñy Tinh
13:43:21	 Account: vugiang	Name: GaÙRung	 DelItem: Tö Thñy Tinh
13:43:21	 Account: vugiang	Name: GaÙRung	 DelItem: Lam Thñy Tinh
13:43:21	 Account: vugiang	Name: GaÙRung	 DelItem: Tö Thñy Tinh
13:43:21	 Account: vugiang	Name: GaÙRung	 DelItem: Lam Thñy Tinh
13:43:21	 Account: vugiang	Name: GaÙRung	 DelItem: Lam Thñy Tinh
13:43:21	 Account: vugiang	Name: GaÙRung	 DelItem: Tö Thñy Tinh
13:43:35	 Account: bocaian2	Name: ThİchMécTr©n	 DelItem: Tóc S­¬ng
13:44:44	 Account: bocaian3	Name: Thİch§ñThø	 DelItem: Tóc S­¬ng
13:46:32	 Account: bocaian5	Name: ThİchMinhTuÖ	 DelItem: Tóc S­¬ng
13:59:04	 Account: vugiang	Name: GaÙRung	 DelItem: Thiªn s¬n  B¶o Lé 
13:59:04	 Account: vugiang	Name: GaÙRung	 DelItem: Thiªn s¬n  B¶o Lé 
13:59:04	 Account: vugiang	Name: GaÙRung	 DelItem: ChiÕn cæ 
13:59:04	 Account: vugiang	Name: GaÙRung	 DelItem: Phong V©n Phi Tèc hoµn
13:59:04	 Account: vugiang	Name: GaÙRung	 DelItem: LÖnh Bµi D· TÈu
13:59:04	 Account: vugiang	Name: GaÙRung	 DelItem: Phong V©n Phi Tèc hoµn
13:59:04	 Account: vugiang	Name: GaÙRung	 DelItem: Tinh Hång B¶o Th¹ch
13:59:04	 Account: vugiang	Name: GaÙRung	 DelItem: Tinh Hång B¶o Th¹ch
13:59:04	 Account: vugiang	Name: GaÙRung	 DelItem: Tinh Hång B¶o Th¹ch
13:59:04	 Account: vugiang	Name: GaÙRung	 DelItem: Tinh Hång B¶o Th¹ch
13:59:04	 Account: vugiang	Name: GaÙRung	 DelItem: Tinh Hång B¶o Th¹ch
13:59:04	 Account: vugiang	Name: GaÙRung	 DelItem: Tinh Hång B¶o Th¹ch
13:59:04	 Account: vugiang	Name: GaÙRung	 DelItem: Tinh Hång B¶o Th¹ch
13:59:04	 Account: vugiang	Name: GaÙRung	 DelItem: Tinh Hång B¶o Th¹ch
13:59:04	 Account: vugiang	Name: GaÙRung	 DelItem: Tinh Hång B¶o Th¹ch
13:59:04	 Account: vugiang	Name: GaÙRung	 DelItem: Tinh Hång B¶o Th¹ch
13:59:04	 Account: vugiang	Name: GaÙRung	 DelItem: Tinh Hång B¶o Th¹ch
13:59:04	 Account: vugiang	Name: GaÙRung	 DelItem: Tinh Hång B¶o Th¹ch
13:59:04	 Account: vugiang	Name: GaÙRung	 DelItem: Tinh Hång B¶o Th¹ch
13:59:04	 Account: vugiang	Name: GaÙRung	 DelItem: Tinh Hång B¶o Th¹ch
13:59:04	 Account: vugiang	Name: GaÙRung	 DelItem: Tinh Hång B¶o Th¹ch
14:05:00	 Account: kimdonghuynh02	Name: MécÙThiªnÙNhai	 DelItem: Tóc S­¬ng
14:10:07	 Account: gacngay03	Name: TestDMN	 DelItem: Kim Phong Kú L©n HuyÕt
14:10:07	 Account: gacngay03	Name: TestDMN	 DelItem: Kim Phong Thanh D­¬ng Kh«i
14:14:08	 Account: vugiang3	Name: SoaiÙKa	 DelItem: Kim Phong Thanh D­¬ng Kh«i
14:14:08	 Account: vugiang3	Name: SoaiÙKa	 DelItem: Kim Phong Kú L©n HuyÕt
14:14:45	 Account: gacngay03	Name: TestDMN	 DelItem: Kim Phong Lan §×nh Ngäc
14:14:45	 Account: gacngay03	Name: TestDMN	 DelItem: Kim Phong HËu NghÖ dÉn cung
14:14:53	 Account: vugiang2	Name: SanBossa	 DelItem: Kim Phong Thiªn Lı Th¶o Th­îng Phi
14:14:53	 Account: vugiang2	Name: SanBossa	 DelItem: Kim Phong Lan §×nh Ngäc
14:18:23	 Account: gacngay04	Name: Test5D	 DelItem: Kim Phong Lan §×nh Ngäc
14:21:15	 Account: kiet1995	Name: dasdasdasd	 DelItem: Tóc S­¬ng
14:22:20	 Account: kiet1996	Name: dsdasdasd	 DelItem: Kim Phong C«ng CÈn Tam Th¸n
14:22:30	 Account: kiet1996	Name: dsdasdasd	 DelItem: Tóc S­¬ng
14:27:04	 Account: vugiang1	Name: ChiÙ13	 DelItem: Kim Phong Thanh D­¬ng Kh«i
14:27:04	 Account: vugiang1	Name: ChiÙ13	 DelItem: Kim Phong Kú L©n HuyÕt
14:27:04	 Account: vugiang1	Name: ChiÙ13	 DelItem: Kim Phong Tr¹c Liªn Quang
14:27:04	 Account: vugiang1	Name: ChiÙ13	 DelItem: Kim Phong §o¹t Hån Ngäc ®¸i
14:27:04	 Account: vugiang1	Name: ChiÙ13	 DelItem: Kim Phong HËu NghÖ dÉn cung
14:27:04	 Account: vugiang1	Name: ChiÙ13	 DelItem: Kim Phong Lan §×nh Ngäc
14:27:04	 Account: vugiang1	Name: ChiÙ13	 DelItem: Kim Phong Thiªn Lı Th¶o Th­îng Phi
14:27:04	 Account: vugiang1	Name: ChiÙ13	 DelItem: Kim Phong §ång T­íc Xu©n Th©m
14:27:40	 Account: vugiang1	Name: ChiÙ13	 DelItem: Tóc S­¬ng
14:27:40	 Account: vugiang1	Name: ChiÙ13	 DelItem: Kim Phong C«ng CÈn Tam Th¸n
14:27:40	 Account: vugiang1	Name: ChiÙ13	 DelItem: Tinh Hång B¶o Th¹ch
14:27:40	 Account: vugiang1	Name: ChiÙ13	 DelItem: Tinh Hång B¶o Th¹ch
14:27:40	 Account: vugiang1	Name: ChiÙ13	 DelItem: Tinh Hång B¶o Th¹ch
14:29:34	 Account: nhidaica007	Name: anmayquakhu	 DelItem: Kim Phong C«ng CÈn Tam Th¸n
14:29:34	 Account: nhidaica007	Name: anmayquakhu	 DelItem: Kim Phong §o¹t Hån Ngäc ®¸i
14:29:57	 Account: vugiang2	Name: SanBossa	 DelItem: [ Nguyªn So¸i ] mÆt n¹ [cÊp 9]
14:29:57	 Account: vugiang2	Name: SanBossa	 DelItem: [ Nguyªn So¸i ] mÆt n¹ [cÊp 8]
14:29:57	 Account: vugiang2	Name: SanBossa	 DelItem: [ Nguyªn So¸i ] mÆt n¹ [cÊp 7]
14:29:57	 Account: vugiang2	Name: SanBossa	 DelItem: [ Nguyªn So¸i ] mÆt n¹ [cÊp 6]
14:29:57	 Account: vugiang2	Name: SanBossa	 DelItem: [ Nguyªn So¸i ] mÆt n¹ [cÊp 5]
14:29:57	 Account: vugiang2	Name: SanBossa	 DelItem: [ Nguyªn So¸i ] mÆt n¹ [cÊp 4]
14:29:57	 Account: vugiang2	Name: SanBossa	 DelItem: [ Nguyªn So¸i ] mÆt n¹ [cÊp 3]
14:29:57	 Account: vugiang2	Name: SanBossa	 DelItem: [ Nguyªn So¸i ] mÆt n¹ [cÊp 2]
14:29:57	 Account: vugiang2	Name: SanBossa	 DelItem: [ Nguyªn So¸i ] mÆt n¹ [cÊp 1]
14:29:57	 Account: vugiang2	Name: SanBossa	 DelItem: [ Nguyªn So¸i ] mÆt n¹ [cÊp 1]
14:36:40	 Account: vugiang	Name: GaÙRung	 DelItem: [ Nguyªn So¸i ] phi phong
14:36:40	 Account: vugiang	Name: GaÙRung	 DelItem: [ Nguyªn So¸i ] phi phong
14:36:40	 Account: vugiang	Name: GaÙRung	 DelItem: [ Nguyªn So¸i ] phi phong
14:36:40	 Account: vugiang	Name: GaÙRung	 DelItem: [ Nguyªn So¸i ] phi phong
14:36:40	 Account: vugiang	Name: GaÙRung	 DelItem: [ Nguyªn So¸i ] phi phong
14:36:40	 Account: vugiang	Name: GaÙRung	 DelItem: [ Nguyªn So¸i ] phi phong
14:36:40	 Account: vugiang	Name: GaÙRung	 DelItem: [ Nguyªn So¸i ] phi phong
14:36:40	 Account: vugiang	Name: GaÙRung	 DelItem: [ Nguyªn So¸i ] phi phong
14:36:40	 Account: vugiang	Name: GaÙRung	 DelItem: [ Nguyªn So¸i ] phi phong
14:36:40	 Account: vugiang	Name: GaÙRung	 DelItem: [ Nguyªn So¸i ] phi phong
14:37:12	 Account: vugiang	Name: GaÙRung	 DelItem: [ Nguyªn So¸i ] quan Ên
14:37:12	 Account: vugiang	Name: GaÙRung	 DelItem: [ Nguyªn So¸i ] quan Ên
14:37:12	 Account: vugiang	Name: GaÙRung	 DelItem: [ Nguyªn So¸i ] quan Ên
14:37:12	 Account: vugiang	Name: GaÙRung	 DelItem: [ Nguyªn So¸i ] quan Ên
14:37:12	 Account: vugiang	Name: GaÙRung	 DelItem: [ Nguyªn So¸i ] quan Ên
