等级	升级需要经验	升级附加经验（万）	1转附加经验	2转附加经验	3转附加经验	4转附加经验	5转附加经验	6转附加经验	7转附加经验
1	10								
2	50							
3	110								
4	190								
5	290								
6	410								
7	550								
8	710								
9	890								
10	1090								
11	1310								
12	1570								
13	1870								
14	2210								
15	2590								
16	3010								
17	3470								
18	3970								
19	4510								
20	5090								
21	5710								
22	6390								
23	7130								
24	7930								
25	8790								
26	9710								
27	10690								
28	11730								
29	12830								
30	13990								
31	15210								
32	16540								
33	17980								
34	19530								
35	21190								
36	22960								
37	24840								
38	26830								
39	28930								
40	31140								
41	33460								
42	36040								
43	38880								
44	41980								
45	45340								
46	48960								
47	52840								
48	56980								
49	61380								
50	66040								
51	70960								
52	76600								
53	82960								
54	90040								
55	97840								
56	106360								
57	115600							
58	125560							
59	136240								
60	147640								
61	159760								
62	173820								
63	189820								
64	207760								
65	227640								
66	249460								
67	273220								
68	298920								
69	326560								
70	356140								
71	387660								
72	424020								
73	465220								
74	511260								
75	562140								
76	617860								
77	678420								
78	743820								
79	814060								
80	889140								
81	969060								
82	1060080								
83	1162200								
84	1275420								
85	1399740								
86	1535160								
87	1681680								
88	1839300								
89	2008020								
90	2187840								
91	2378760								
92	2593300								
93	2831460								
94	3093240								
95	3378640								
96	3687660								
97	4020300								
98	4376560								
99	4756440								
100	5000000								
101	5000000								15000
102	5000000								15000
103	5000000								15000
104	5000000								15000
105	5000000								15000
106	5000000								15000
107	5000000								15000
108	5000000								15000
109	5000000								15000
110	6000000								15000
111	6000000								34000
112	6000000								34000
113	6000000								34000
114	6000000								34000
115	6000000								34000
116	6000000								34000
117	6000000								34000
118	6000000								34000
119	6000000								34000
120	10000000								34000
121	10000000								50000
122	10000000								50000
123	10000000								50000
124	10000000								50000
125	12000000								50000
126	12000000								68000
127	12000000								68000
128	12000000								68000
129	12000000								68000
130	16000000		16000	48000	64000	0	0	0	68000
131	16000000		16000	48000	64000	144000	144000	144000	224000
132	16000000		16000	48000	64000	144000	144000	144000	224000
133	16000000		16000	48000	64000	144000	144000	144000	224000
134	16000000		16000	48000	64000	144000	144000	144000	224000
135	20000000		20000	60000	80000	140000	140000	140000	220000
136	20000000		20000	60000	80000	180000	180000	180000	280000
137	20000000		20000	60000	80000	180000	180000	180000	280000
138	20000000		20000	60000	80000	180000	180000	180000	280000
139	20000000		20000	60000	80000	180000	180000	180000	280000
140	30000000		30000	90000	120000	170000	170000	170000	270000
141	30000000		30000	90000	120000	270000	270000	270000	395000
142	30000000		30000	90000	120000	270000	270000	270000	395000
143	30000000		30000	90000	120000	270000	270000	270000	395000
144	30000000		30000	90000	120000	270000	270000	270000	395000
145	50000000		50000	150000	200000	250000	250000	250000	375000
146	50000000		50000	150000	200000	450000	450000	450000	625000
147	50000000		50000	150000	200000	450000	450000	450000	625000
148	50000000		50000	150000	200000	450000	450000	450000	625000
149	50000000		50000	150000	200000	450000	450000	450000	625000
150	80000000		80000	240000	320000	420000	420000	420000	595000
151	80000000		80000	240000	320000	720000	720000	720000	945000
152	80000000		80000	240000	320000	720000	720000	720000	945000
153	80000000		80000	240000	320000	720000	720000	720000	945000
154	80000000		80000	240000	320000	720000	720000	720000	945000
155	120000000		120000	360000	480000	680000	680000	680000	905000
156	120000000		120000	360000	480000	1080000	1080000	1080000	1355000
157	120000000		120000	360000	480000	1080000	1080000	1080000	1355000
158	120000000		120000	360000	480000	1080000	1080000	1080000	1355000
159	120000000		120000	360000	480000	1080000	1080000	1080000	1355000
160	180000000		180000	540000	720000	1020000	1020000	1020000	1295000
161	180000000		180000	540000	720000	1620000	1620000	1620000	1940000
162	180000000		180000	540000	720000	1620000	1620000	1620000	1940000
163	180000000		180000	540000	720000	1620000	1620000	1620000	1940000
164	180000000		180000	540000	720000	1620000	1620000	1620000	1940000
165	200000000		200000	600000	800000	1600000	1600000	1600000	1940000
166	200000000		200000	600000	800000	1800000	1800000	1800000	2980000
167	200000000		200000	600000	800000	1800000	1800000	1800000	2980000
168	200000000		200000	600000	800000	1800000	1800000	1800000	2980000
169	200000000		200000	600000	800000	1800000	2800000	2800000	3980000
170	200000000		200000	600000	800000	1800000	2800000	2800000	3980000
171	200000000		200000	600000	800000	1800000	2800000	2800000	4980000
172	200000000		200000	600000	800000	1800000	2800000	2800000	4980000
173	200000000		200000	600000	800000	1800000	2800000	2800000	4980000
174	200000000		200000	600000	800000	1800000	2800000	2800000	4980000
175	200000000		200000	600000	800000	1800000	2800000	2800000	4980000
176	200000000		200000	600000	800000	1800000	2800000	2800000	6200000
177	200000000		200000	600000	800000	1800000	2800000	2800000	6200000
178	200000000		200000	600000	800000	1800000	2800000	2800000	6200000
179	200000000		200000	600000	800000	1800000	2800000	2800000	6200000
180	200000000		200000	600000	800000	1800000	2800000	2800000	6200000
181	200000000		200000	600000	800000	1800000	2800000	2800000	8200000
182	200000000		200000	600000	800000	1800000	2800000	2800000	8200000
