装备名称	刀盾站立1	盾刀站立1	空手站立1	空手站立2	空手站立3	短武器站立	长武器站立	双武器站立	刀盾武器站立	盾刀武器站立	琴战斗站立	琴非战斗站立	空手走路	普通走路	短武器走路	长武器走路	双武器走路	刀盾武器走路	盾刀武器走路	琴走路	空手跑步	普通跑步	短武器跑步	长武器跑步	双武器跑步	刀盾武器跑步	盾刀武器跑步	琴武器跑步	空手受伤	短武器受伤	长武器受伤	双武器受伤	刀盾武器受伤	盾刀武器受伤	琴武器受伤	空手死亡	短武器死亡	长武器死亡	双武器死亡	刀盾武器死亡	盾刀武器死亡	琴武器死亡	空手攻击	短武器刺	短武器砍	长武器戳	长武器劈	双武器划	双武器砸	刀盾武器划	刀盾武器砍	盾刀武器划	盾刀武器砍	琴武器攻击1	琴武器攻击2	暗器投掷	空手魔法	短武器魔法	长武器魔法	双武器魔法	刀盾武器魔法	盾刀武器魔法	琴武器魔法	打坐	跳跃	骑马站立	骑马走动	骑马跑步	骑马攻击劈	骑马攻击刺	骑马魔法	骑马受伤	骑马死亡	骑马站立1	骑马站立2
Ng鵤 2																																																																											
Ng鵤 3																																																																											
Ng鵤 4																																																																											
Ng鵤 5																																																																											
Ng鵤 6																																																																											
Ng鵤 7																																																																											
Ng鵤 8																																																																											
Ng鵤 9																																																																											
Ng鵤 10																																																																											
Ng鵤 11																																																																											
Ng鵤 12																																																																											
Ng鵤 13																																																																											
Ng鵤 14																																																																											
Ng鵤 15																																																																											
Ng鵤 16																																																																											
Ng鵤 17																																																																											
Ng鵤 18																																																																											
Ng鵤 19																																																																											
Ng鵤 20																																																																											
Ng鵤 21																																																																											
Ng鵤 22																																																																											
Ng鵤 23																																																																											
Ng鵤 24																																																																		horse_effect_a.spr	horse_effect_a.spr	horse_effect_a.spr	horse_effect_a.spr	horse_effect_a.spr	horse_effect_a.spr	horse_effect_a.spr	horse_effect_a.spr	horse_effect_a.spr	horse_effect_a.spr
Ng鵤 25																																																																											
Ng鵤 26																																																																											
Ng鵤 27																																																																											
Ng鵤 28																																																																											
Ng鵤 29																																																																											
Ng鵤 30																																																																											
Ng鵤 31																																																																											
Ng鵤 32																																																																											
Ng鵤 33																																																																											
Ng鵤 34																																																																											
Ng鵤 35																																																																											
Ng鵤 36																																																																											
Ng鵤 37																																																																											
Ng鵤 38																																																																											
Ng鵤 39																																																																											
Ng鵤 40																																																																											
Ng鵤 41																																																																											
Ng鵤 42																																																																											
Ng鵤 43																																																																											
Ng鵤 44																																																																											
Ng鵤 45																																																																											
Ng鵤 46																																																																		MA_HHF_056_RD01.spr	MA_HHF_056_HW01.spr	MA_HHF_056_HR01.spr	MA_HHF_056_HA01.spr	MA_HHF_056_HA02.spr	MA_HHF_056_HM01.spr	MA_HHF_056_HI01.spr	MA_HHF_056_HD01.spr	MA_HHF_056_RD01.spr	MA_HHF_056_RD01.spr
Ng鵤 47																																																																		MA_HHF_057_RD01.spr	MA_HHF_057_HW01.spr	MA_HHF_057_HR01.spr	MA_HHF_057_HA01.spr	MA_HHF_057_HA02.spr	MA_HHF_057_HM01.spr	MA_HHF_057_HI01.spr	MA_HHF_057_HD01.spr	MA_HHF_057_RD01.spr	MA_HHF_057_RD01.spr
Ng鵤 48																																																																		MA_HHF_058_RD01.spr	MA_HHF_058_HW01.spr	MA_HHF_058_HR01.spr	MA_HHF_058_HA01.spr	MA_HHF_058_HA02.spr	MA_HHF_058_HM01.spr	MA_HHF_058_HI01.spr	MA_HHF_058_HD01.spr	MA_HHF_058_RD01.spr	MA_HHF_058_RD01.spr
Ng鵤 49																																																																		MA_HHF_059_RD01.spr	MA_HHF_059_HW01.spr	MA_HHF_059_HR01.spr	MA_HHF_059_HA01.spr	MA_HHF_059_HA02.spr	MA_HHF_059_HM01.spr	MA_HHF_059_HI01.spr	MA_HHF_059_HD01.spr	MA_HHF_059_RD01.spr	MA_HHF_059_RD01.spr
Ng鵤 50																																																																											
Ng鵤 51																																																																		MA_HHF_061_RD01.spr	MA_HHF_061_HW01.spr	MA_HHF_061_HR01.spr	MA_HHF_061_HA01.spr	MA_HHF_061_HA02.spr	MA_HHF_061_HM01.spr	MA_HHF_061_HI01.spr	MA_HHF_061_HD01.spr	MA_HHF_061_RD01.spr	MA_HHF_061_RD01.spr
Ng鵤 52																																																																		MA_HHF_062_RD01.spr	MA_HHF_062_HW01.spr	MA_HHF_062_HR01.spr	MA_HHF_062_HA01.spr	MA_HHF_062_HA02.spr	MA_HHF_062_HM01.spr	MA_HHF_062_HI01.spr	MA_HHF_062_HD01.spr	MA_HHF_062_RD01.spr	MA_HHF_062_RD01.spr
Ng鵤 53																																																																		MA_HHF_063_RD01.spr	MA_HHF_063_HW01.spr	MA_HHF_063_HR01.spr	MA_HHF_063_HA01.spr	MA_HHF_063_HA02.spr	MA_HHF_063_HM01.spr	MA_HHF_063_HI01.spr	MA_HHF_063_HD01.spr	MA_HHF_063_RD01.spr	MA_HHF_063_RD01.spr
Ng鵤 54																																																																		MA_HHF_064_RD01.spr	MA_HHF_064_HW01.spr	MA_HHF_064_HR01.spr	MA_HHF_064_HA01.spr	MA_HHF_064_HA02.spr	MA_HHF_064_HM01.spr	MA_HHF_064_HI01.spr	MA_HHF_064_HD01.spr	MA_HHF_064_RD01.spr	MA_HHF_064_RD01.spr
Ng鵤 55																																																																											
Ng鵤 56																																																																											
