EqName	SwordShieldWFreeStand	ShieldSwordWFreeStand	FreeStand1	FreeStand2	FreeStand3	MeleeWStand	RangeWStand	DoubleWStand	SwordShieldWStand	ShieldSwordWStand	GuqinWStand1	GuqinWStand2	FreeWalk	NormalWalk	MeleeWWalk	RangeWWalk	DoubleWWalk	SwordShieldWWalk	ShieldSwordWWalk	GuqinWWalk	FreeRun	NormalRun	MeleeWRun	RangeWRun	DoubleWRun	SwordShieldWRun	ShieldSwordWRun	GuqinWRun	FreeWound	MeleeWWound	RangeWWound	DoubleWWound	SwordShieldWWound	ShieldSwordWWound	GuqinWWound	FreeDie	MeleeWDie	RangeWDie	DoubleWDie	SwordShieldWDie	ShieldSwordWDie	GuqinWDie	FreeAttack	MeleeWPuncture	MeleeWCut	RangeWPuncture	RangeWCut	DoubleWPull	DoubleWPound	SwordShieldWChop	SwordShieldWCut	ShieldSwordWChop	ShieldSwordWCut	GuqinWPuncture	GuqinWCut	DartThrow	FreeMagic	MeleeWMagic	RangeWMagic	DoubleWMagic	SwordShieldWMagic	ShieldSwordWMagic	GuqinWMagic	SitDown	Jump	RideStand	RideWalk	RideRun	RideCut	RidePuncture	RideMagic	RideWound	RideDie	RideStand1	RideStand2	ChangeColor
Tay Kh«ng																																																																												
§¬n KiÕm 1																																																																												
§¬n KiÕm 2																																																																												
§¬n KiÕm 3																																																																												
§¬n §ao 1																																																																												
§¬n §ao 2																																																																												
§¬n §ao 3																																																																												
Tr­êng Th­¬ng 1																																																																												
Tr­êng Th­¬ng 2																																																																												
Tr­êng Th­¬ng 3																																																																												
Tr­êng C«n 1																																																																												
Tr­êng C«n 2																																																																												
Tr­êng C«n 3																																																																												
Song KiÕm 1																																																																												
Song KiÕm 2																																																																												
Song KiÕm 3																																																																												
Song Chïy 1																																																																												
Song Chïy 2																																																																												
Song Chïy 3																																																																												
¸m KhÝ																																																																												
§¬n KiÕm 4																																																																												
§¬n KiÕm 5																																																																												
§¬n §ao 4																																																																												
§¬n §ao 5																																																																												
Tr­êng Th­¬ng 4																																																																												
Tr­êng Th­¬ng 5																																																																												
Tr­êng C«n 4																																																																												
Tr­êng C«n 5																																																																												
Song KiÕm 4																																																																												
Song KiÕm 5																																																																												
Song Chïy 4																																																																												
Song Chïy 5																																																																												
§¬n §ao 6 ( Kim )																																																																												
§¬n §ao 7 ( Thñy )																																																																												
§¬n §ao 8 ( Méc )																																																																												
§¬n §ao 9 ( Thæ )																																																																												
§¬n KiÕm 6 ( Thñy )																																																																												
§¬n KiÕm 7 ( Thæ )																																																																												
Tr­êng Th­¬ng 6 ( Kim )																																																																												
Tr­êng Th­¬ng 7 ( Háa )																																																																												
Tr­êng C«n 6 ( Kim )																																																																												
Tr­êng C«n 7 ( Háa )																																																																												
Song KiÕm 6 ( Thñy )																																																																												
Song Chïy 6 ( Kim )																																																																												
Song TriÒn Thñ - Kim			MA_RF_001_ST01.spr	MA_RF_001_ST02.spr	MA_RF_001_ST03.spr	MA_RF_000_ST04.spr	MA_RF_000_ST05.spr	MA_RF_000_ST06.spr					MA_RF_001_WK01.spr	MA_RF_001_WK01.spr	MA_RF_000_WK02.spr	MA_RF_000_WK03.spr	MA_RF_000_WK04.spr				MA_RF_001_RN01.spr	MA_RF_001_RN01.spr	MA_RF_000_RN02.spr	MA_RF_000_RN03.spr	MA_RF_000_RN04.spr				MA_RF_001_IJ01.spr	MA_RF_000_IJ02.spr	MA_RF_000_IJ03.spr	MA_RF_000_IJ04.spr				MA_RF_001_DE01.spr	MA_RF_000_DE02.spr	MA_RF_000_DE03.spr	MA_RF_000_DE04.spr				MA_RF_001_AT01.spr	MA_RF_000_AT02.spr	MA_RF_000_AT03.spr	MA_RF_000_AT04.spr	MA_RF_000_AT05.spr	MA_RF_000_AT06.spr	MA_RF_000_AT07.spr							MA_RF_001_MG01.spr	MA_RF_001_MG02.spr	MA_RF_000_MG03.spr	MA_RF_000_MG04.spr	MA_RF_000_MG05.spr				MA_RF_001_ZZ01.spr	MA_RF_001_JP01.spr	MA_RF_008_RD01.spr	MA_RF_008_HW01.spr	MA_RF_008_HR01.spr	MA_RF_008_HA01.spr	MA_RF_008_HA02.spr	MA_RF_008_HM01.spr	MA_RF_008_HI01.spr	MA_RF_008_HD01.spr	MA_RF_008_RD01.spr	MA_RF_008_RD01.spr	0x808000
Song TriÒn Thñ - Thñy			MA_RF_001_ST01.spr	MA_RF_001_ST02.spr	MA_RF_001_ST03.spr	MA_RF_000_ST04.spr	MA_RF_000_ST05.spr	MA_RF_000_ST06.spr					MA_RF_001_WK01.spr	MA_RF_001_WK01.spr	MA_RF_000_WK02.spr	MA_RF_000_WK03.spr	MA_RF_000_WK04.spr				MA_RF_001_RN01.spr	MA_RF_001_RN01.spr	MA_RF_000_RN02.spr	MA_RF_000_RN03.spr	MA_RF_000_RN04.spr				MA_RF_001_IJ01.spr	MA_RF_000_IJ02.spr	MA_RF_000_IJ03.spr	MA_RF_000_IJ04.spr				MA_RF_001_DE01.spr	MA_RF_000_DE02.spr	MA_RF_000_DE03.spr	MA_RF_000_DE04.spr				MA_RF_001_AT01.spr	MA_RF_000_AT02.spr	MA_RF_000_AT03.spr	MA_RF_000_AT04.spr	MA_RF_000_AT05.spr	MA_RF_000_AT06.spr	MA_RF_000_AT07.spr							MA_RF_001_MG01.spr	MA_RF_001_MG02.spr	MA_RF_000_MG03.spr	MA_RF_000_MG04.spr	MA_RF_000_MG05.spr				MA_RF_001_ZZ01.spr	MA_RF_001_JP01.spr	MA_RF_008_RD01.spr	MA_RF_008_HW01.spr	MA_RF_008_HR01.spr	MA_RF_008_HA01.spr	MA_RF_008_HA02.spr	MA_RF_008_HM01.spr	MA_RF_008_HI01.spr	MA_RF_008_HD01.spr	MA_RF_008_RD01.spr	MA_RF_008_RD01.spr	0x0080ff
Song TriÒn Thñ - Méc			MA_RF_001_ST01.spr	MA_RF_001_ST02.spr	MA_RF_001_ST03.spr	MA_RF_000_ST04.spr	MA_RF_000_ST05.spr	MA_RF_000_ST06.spr					MA_RF_001_WK01.spr	MA_RF_001_WK01.spr	MA_RF_000_WK02.spr	MA_RF_000_WK03.spr	MA_RF_000_WK04.spr				MA_RF_001_RN01.spr	MA_RF_001_RN01.spr	MA_RF_000_RN02.spr	MA_RF_000_RN03.spr	MA_RF_000_RN04.spr				MA_RF_001_IJ01.spr	MA_RF_000_IJ02.spr	MA_RF_000_IJ03.spr	MA_RF_000_IJ04.spr				MA_RF_001_DE01.spr	MA_RF_000_DE02.spr	MA_RF_000_DE03.spr	MA_RF_000_DE04.spr				MA_RF_001_AT01.spr	MA_RF_000_AT02.spr	MA_RF_000_AT03.spr	MA_RF_000_AT04.spr	MA_RF_000_AT05.spr	MA_RF_000_AT06.spr	MA_RF_000_AT07.spr							MA_RF_001_MG01.spr	MA_RF_001_MG02.spr	MA_RF_000_MG03.spr	MA_RF_000_MG04.spr	MA_RF_000_MG05.spr				MA_RF_001_ZZ01.spr	MA_RF_001_JP01.spr	MA_RF_008_RD01.spr	MA_RF_008_HW01.spr	MA_RF_008_HR01.spr	MA_RF_008_HA01.spr	MA_RF_008_HA02.spr	MA_RF_008_HM01.spr	MA_RF_008_HI01.spr	MA_RF_008_HD01.spr	MA_RF_008_RD01.spr	MA_RF_008_RD01.spr	0x00ff00
Song TriÒn Thñ - Háa			MA_RF_001_ST01.spr	MA_RF_001_ST02.spr	MA_RF_001_ST03.spr	MA_RF_000_ST04.spr	MA_RF_000_ST05.spr	MA_RF_000_ST06.spr					MA_RF_001_WK01.spr	MA_RF_001_WK01.spr	MA_RF_000_WK02.spr	MA_RF_000_WK03.spr	MA_RF_000_WK04.spr				MA_RF_001_RN01.spr	MA_RF_001_RN01.spr	MA_RF_000_RN02.spr	MA_RF_000_RN03.spr	MA_RF_000_RN04.spr				MA_RF_001_IJ01.spr	MA_RF_000_IJ02.spr	MA_RF_000_IJ03.spr	MA_RF_000_IJ04.spr				MA_RF_001_DE01.spr	MA_RF_000_DE02.spr	MA_RF_000_DE03.spr	MA_RF_000_DE04.spr				MA_RF_001_AT01.spr	MA_RF_000_AT02.spr	MA_RF_000_AT03.spr	MA_RF_000_AT04.spr	MA_RF_000_AT05.spr	MA_RF_000_AT06.spr	MA_RF_000_AT07.spr							MA_RF_001_MG01.spr	MA_RF_001_MG02.spr	MA_RF_000_MG03.spr	MA_RF_000_MG04.spr	MA_RF_000_MG05.spr				MA_RF_001_ZZ01.spr	MA_RF_001_JP01.spr	MA_RF_008_RD01.spr	MA_RF_008_HW01.spr	MA_RF_008_HR01.spr	MA_RF_008_HA01.spr	MA_RF_008_HA02.spr	MA_RF_008_HM01.spr	MA_RF_008_HI01.spr	MA_RF_008_HD01.spr	MA_RF_008_RD01.spr	MA_RF_008_RD01.spr	0xff0000
Tr­êng C«n - Kim C«n			MA_RF_004_ST01.spr	MA_RF_004_ST02.spr	MA_RF_000_ST03.spr	MA_RF_000_ST04.spr	MA_RF_004_ST05.spr	MA_RF_004_ST06.spr					MA_RF_000_WK01.spr	MA_RF_000_WK01.spr	MA_RF_000_WK02.spr	MA_RF_004_WK03.spr	MA_RF_000_WK04.spr				MA_RF_000_RN01.spr	MA_RF_000_RN01.spr	MA_RF_000_RN02.spr	MA_RF_004_RN03.spr	MA_RF_004_RN04.spr				MA_RF_000_IJ01.spr	MA_RF_004_IJ02.spr	MA_RF_004_IJ03.spr	MA_RF_004_IJ04.spr				MA_RF_000_DE01.spr	MA_RF_004_DE02.spr	MA_RF_004_DE03.spr	MA_RF_004_DE04.spr				MA_RF_000_AT01.spr	MA_RF_004_AT02.spr	MA_RF_004_AT03.spr	MA_RF_004_AT04.spr	MA_RF_004_AT05.spr	MA_RF_004_AT06.spr	MA_RF_004_AT07.spr							MA_RF_004_MG01.spr	MA_RF_000_MG02.spr	MA_RF_004_MG03.spr	MA_RF_004_MG04.spr	MA_RF_004_MG05.spr				MA_RF_000_ZZ01.spr	MA_RF_000_JP01.spr	MA_RF_011_RD01.spr	MA_RF_011_HW01.spr	MA_RF_011_HR01.spr	MA_RF_011_HA01.spr	MA_RF_011_HA02.spr	MA_RF_011_HM01.spr	MA_RF_011_HI01.spr	MA_RF_011_HD01.spr	MA_RF_011_RD01.spr	MA_RF_011_RD01.spr	0x808000
Tr­êng C«n - Háa C«n			MA_RF_004_ST01.spr	MA_RF_004_ST02.spr	MA_RF_000_ST03.spr	MA_RF_000_ST04.spr	MA_RF_004_ST05.spr	MA_RF_004_ST06.spr					MA_RF_000_WK01.spr	MA_RF_000_WK01.spr	MA_RF_000_WK02.spr	MA_RF_004_WK03.spr	MA_RF_000_WK04.spr				MA_RF_000_RN01.spr	MA_RF_000_RN01.spr	MA_RF_000_RN02.spr	MA_RF_004_RN03.spr	MA_RF_004_RN04.spr				MA_RF_000_IJ01.spr	MA_RF_004_IJ02.spr	MA_RF_004_IJ03.spr	MA_RF_004_IJ04.spr				MA_RF_000_DE01.spr	MA_RF_004_DE02.spr	MA_RF_004_DE03.spr	MA_RF_004_DE04.spr				MA_RF_000_AT01.spr	MA_RF_004_AT02.spr	MA_RF_004_AT03.spr	MA_RF_004_AT04.spr	MA_RF_004_AT05.spr	MA_RF_004_AT06.spr	MA_RF_004_AT07.spr							MA_RF_004_MG01.spr	MA_RF_000_MG02.spr	MA_RF_004_MG03.spr	MA_RF_004_MG04.spr	MA_RF_004_MG05.spr				MA_RF_000_ZZ01.spr	MA_RF_000_JP01.spr	MA_RF_011_RD01.spr	MA_RF_011_HW01.spr	MA_RF_011_HR01.spr	MA_RF_011_HA01.spr	MA_RF_011_HA02.spr	MA_RF_011_HM01.spr	MA_RF_011_HI01.spr	MA_RF_011_HD01.spr	MA_RF_011_RD01.spr	MA_RF_011_RD01.spr	0xff0000
